user_id,gender,married,has_children,home_country,home_city,home_airport,user_age,account_age,total_sessions,avg_session_duration,avg_page_clicks,avg_clicks_per_min,avg_seats,avg_checked_bags,num_trip_discounts,avg_trip_discount_amount,total_airlines,top_airline,total_origin_airports,total_destinations,top_destination,total_destination_airports,avg_rooms,total_hotels,total_hotel_brands,top_hotel_brand,total_trips,avg_trip_duration_days,avg_trip_distance_km,avg_base_trip_cost,avg_total_trip_cost,type_browsing,type_complete-package,type_flight-hotel,type_flight-one-way,type_flight-roundtrip,type_hotel-only,status_cancelled,status_complete,status_none,category_extended,category_other,category_week,category_weekend,browsing_frequency,booking_frequency,booking_conversion,cancellation_rate
23557,f,True,False,usa,new york,lga,66,41,8,1.28,10.25,7.98,0.0,0.0,2,0.18,0,,0,0,,0,0.38,2,2,extended stay,2,2.75,,314.75,290.09,6,0,0,0,0,2,0,2,6,1,1,0,0,0.2,0.05,0.25,0.0
94883,f,True,False,usa,kansas city,mci,52,34,8,1.13,9.12,8.04,0.38,0.12,1,0.1,2,delta air lines,1,2,jacksonville,2,0.38,2,2,four seasons,2,0.62,1453.67,146.76,146.76,6,2,0,0,0,0,0,2,6,0,1,1,0,0.24,0.06,0.25,0.0
101486,f,True,True,usa,tacoma,tcm,52,34,8,2.04,16.38,8.04,0.12,0.0,2,0.08,1,united airlines,1,1,edmonton,1,0.38,2,2,banyan tree,2,1.38,965.34,258.24,258.24,6,1,0,0,0,1,0,2,6,2,0,0,0,0.24,0.06,0.25,0.0
101961,f,True,False,usa,boston,bos,44,34,8,1.96,15.75,8.05,0.62,0.25,3,0.13,5,air new zealand,1,5,charlotte,5,0.62,5,5,accor,5,3.62,1321.68,543.96,535.09,3,5,0,0,0,0,0,5,3,4,0,0,1,0.24,0.15,0.62,0.0
106907,f,True,True,usa,miami,tnt,46,34,8,12.65,30.0,7.1,1.5,1.25,0,,1,air mauritius,1,1,durban,1,0.75,1,1,shangri-la,2,3.5,13402.32,3862.52,3862.52,6,2,0,0,0,0,1,1,6,2,0,0,0,0.24,0.06,0.25,0.5
118043,f,False,True,usa,los angeles,lax,52,33,8,2.55,20.5,8.06,0.75,0.38,4,0.19,3,american airlines,1,3,el paso,3,0.62,3,2,fairmont,5,4.0,2455.03,1108.16,1032.47,3,2,0,0,1,2,0,5,3,3,2,0,0,0.24,0.15,0.62,0.0
120851,f,True,True,usa,santa ana,sna,52,33,8,0.86,6.88,7.87,0.12,0.0,2,0.22,1,delta air lines,1,1,edmonton,1,0.12,1,1,best western,1,1.62,2249.83,298.33,298.33,7,1,0,0,0,0,0,1,7,1,0,0,0,0.24,0.03,0.12,0.0
125845,f,True,False,usa,el paso,bif,41,33,9,2.2,17.67,8.08,0.44,0.22,2,0.1,3,airtran airways,1,3,indianapolis,3,0.44,3,2,four seasons,3,1.44,2700.78,269.04,253.93,6,3,0,0,0,0,0,3,6,1,1,1,0,0.27,0.09,0.33,0.0
133058,f,False,False,usa,austin,aus,19,33,8,1.14,9.12,7.96,0.12,0.0,1,0.05,1,united airlines,1,1,montreal,1,0.0,0,0,,1,0.62,2708.29,52.94,52.94,7,0,0,0,1,0,0,1,7,1,0,0,0,0.24,0.03,0.12,0.0
149058,f,False,True,usa,birmingham,bhm,51,32,8,2.19,17.75,8.06,0.75,0.25,1,0.05,5,alaska airlines,1,5,austin,5,0.75,5,5,accor,5,4.75,1904.75,974.58,970.84,3,5,0,0,0,0,0,5,3,3,1,1,0,0.25,0.16,0.62,0.0
152583,f,False,False,usa,colorado springs,cos,38,32,8,2.32,18.62,8.03,0.12,0.25,2,0.15,1,westjet,1,1,toronto,1,0.12,1,1,radisson,1,0.75,2178.79,125.85,125.85,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0
153982,f,False,True,canada,toronto,ykz,46,32,8,2.31,18.75,8.11,0.38,0.12,1,0.15,2,spirit airlines,1,3,baltimore,3,0.38,3,3,banyan tree,3,1.38,1282.54,244.86,244.86,5,3,0,0,0,0,0,3,5,0,1,1,1,0.25,0.09,0.38,0.0
160754,f,True,True,usa,new york,lga,47,32,8,1.34,10.75,8.02,0.12,0.12,0,,1,air canada,1,1,ottawa,1,0.12,1,1,fairmont,1,0.62,526.12,91.95,91.95,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0
164522,f,True,False,usa,kansas city,mci,49,32,8,1.39,11.12,7.94,0.12,0.12,3,0.05,1,british airways,1,1,new york,1,0.12,1,1,fairmont,1,2.0,1786.07,448.79,426.35,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0
167852,f,False,False,usa,tampa,mcf,18,32,8,0.97,7.88,8.12,0.0,0.0,3,0.1,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.25,0.0,0.0,
171470,f,False,False,usa,atlanta,atl,25,31,8,30.71,55.75,6.46,0.5,0.12,1,0.1,2,indonesia airasia,1,2,johor bahru,2,0.0,0,0,,3,1.88,15567.85,1379.76,1343.78,5,2,0,0,1,0,2,1,5,1,2,0,0,0.26,0.1,0.38,0.67
174997,f,False,False,usa,grand rapids,grr,33,31,8,16.53,31.5,7.08,0.5,0.12,2,0.12,3,air serbia,1,3,chicago,3,0.25,2,2,conrad,3,1.12,3515.74,476.31,476.31,5,3,0,0,0,0,1,2,5,0,1,2,0,0.26,0.1,0.38,0.33
175032,f,False,False,usa,houston,iah,30,31,9,1.74,14.11,8.12,0.44,0.11,3,0.17,2,american airlines,1,2,las vegas,2,0.67,3,3,conrad,3,2.0,1358.82,352.03,329.38,6,2,0,0,0,1,0,3,6,1,1,0,1,0.29,0.1,0.33,0.0
181157,f,True,False,usa,houston,hou,54,31,8,2.35,19.12,8.09,0.75,0.38,3,0.17,3,air france,1,2,oklahoma city,2,0.75,3,2,radisson,3,2.12,1194.22,387.68,340.02,5,3,0,0,0,0,0,3,5,0,1,2,0,0.26,0.1,0.38,0.0
182191,f,False,True,usa,phoenix,phx,20,31,8,11.1,18.5,7.11,0.25,0.12,1,0.1,1,alaska airlines,1,1,portland,1,0.0,0,0,,1,0.0,1625.28,67.21,67.21,7,1,0,0,0,0,1,0,7,0,1,0,0,0.26,0.03,0.12,1.0
187212,f,True,True,usa,los angeles,lax,55,31,8,1.98,16.0,8.12,0.38,0.25,2,0.25,3,american airlines,1,3,new york,3,0.38,3,3,banyan tree,3,1.62,2338.71,349.82,349.82,5,3,0,0,0,0,0,3,5,1,0,1,1,0.26,0.1,0.38,0.0
189676,f,False,True,usa,fort worth,ftw,37,31,8,1.44,11.62,7.99,0.38,0.25,1,0.15,1,american airlines,1,1,san jose,1,0.5,2,2,choice hotels,2,2.62,2284.55,633.29,633.29,6,1,0,0,0,1,0,2,6,1,1,0,0,0.26,0.06,0.25,0.0
190866,f,False,False,usa,tallahassee,tlh,38,31,9,2.56,20.67,8.09,0.56,0.22,1,0.05,3,delta air lines,1,4,portland,5,0.56,5,4,fairmont,5,2.33,2269.54,476.22,476.22,4,5,0,0,0,0,0,5,4,1,1,2,1,0.29,0.16,0.56,0.0
195192,f,False,False,usa,chicago,mdw,29,31,8,3.47,28.12,8.09,0.25,0.0,2,0.1,1,spirit airlines,1,1,new york,1,0.25,1,1,nh hotel,1,0.5,1174.42,89.29,89.29,7,1,0,0,0,0,0,1,7,0,0,1,0,0.26,0.03,0.12,0.0
204943,m,False,False,canada,ottawa,yow,42,30,8,17.39,36.5,7.22,1.25,1.12,2,0.15,6,american airlines,1,3,new york,5,1.25,6,6,intercontinental,7,8.12,1872.45,2100.09,2088.13,1,7,0,0,0,0,1,6,1,5,0,2,0,0.27,0.23,0.88,0.14
204997,f,True,False,usa,kansas city,mci,39,30,8,23.32,54.88,6.38,1.0,0.38,2,0.22,3,jetblue airways,1,4,charlotte,4,0.75,3,2,crowne plaza,5,4.75,3003.4,1237.58,1205.54,3,4,0,0,1,0,2,3,3,4,1,0,0,0.27,0.17,0.62,0.4
205044,f,True,True,canada,toronto,ykz,41,30,9,1.84,14.89,8.05,0.67,0.11,1,0.05,3,american airlines,1,2,los angeles,3,0.67,3,3,accor,3,2.22,2531.01,690.93,681.71,6,3,0,0,0,0,0,3,6,2,1,0,0,0.3,0.1,0.33,0.0
206011,f,False,True,usa,kansas city,mci,40,30,8,2.44,19.5,7.97,0.5,0.12,3,0.15,4,american airlines,1,4,chicago,4,0.38,3,3,aman resorts,4,2.12,1473.55,289.7,284.35,4,3,0,0,1,0,0,4,4,1,0,2,1,0.27,0.13,0.5,0.0
216796,f,False,False,usa,cincinnati,cvg,23,30,8,8.19,15.62,7.23,0.5,0.5,4,0.15,1,ryanair,1,1,barcelona,1,0.25,1,1,conrad,2,3.0,7041.48,1287.97,1126.97,6,2,0,0,0,0,1,1,6,2,0,0,0,0.27,0.07,0.25,0.5
217136,f,False,True,usa,little rock,lit,39,30,8,1.66,13.25,7.96,0.12,0.0,2,0.18,1,kenmore air,1,1,seattle,1,0.25,2,2,banyan tree,2,1.0,2867.32,208.95,208.95,6,1,0,0,0,1,0,2,6,0,2,0,0,0.27,0.07,0.25,0.0
220725,f,False,False,usa,stockton,sck,41,30,9,15.81,35.11,7.34,0.56,0.11,2,0.1,4,airtran airways,1,4,san antonio,4,0.44,3,3,rosewood,5,3.78,2773.5,529.44,526.77,4,4,0,0,1,0,1,4,4,4,1,0,0,0.3,0.17,0.56,0.2
224996,f,False,True,canada,halifax,yhz,43,30,8,1.58,12.75,7.93,0.25,0.0,1,0.1,2,air canada,1,2,calgary,2,0.12,1,1,banyan tree,2,0.88,2353.01,141.08,141.08,6,1,0,0,1,0,0,2,6,0,2,0,0,0.27,0.07,0.25,0.0
226367,f,False,False,usa,washington,iad,44,30,8,1.76,14.25,8.07,0.5,0.25,1,0.05,3,air canada,1,3,chicago,3,0.5,3,3,best western,3,1.5,1655.82,362.78,356.36,5,3,0,0,0,0,0,3,5,0,2,1,0,0.27,0.1,0.38,0.0
228195,f,False,True,usa,los angeles,lax,27,30,9,1.6,12.89,8.01,0.0,0.0,1,0.2,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,9,0,0,0,0,0,0,0,9,0,0,0,0,0.3,0.0,0.0,
228872,m,False,False,usa,san antonio,rnd,35,30,8,1.97,15.75,8.05,0.12,0.12,1,0.35,1,american airlines,1,1,portland,1,0.25,2,2,hilton,2,2.0,2770.22,248.15,248.15,6,1,0,0,0,1,0,2,6,2,0,0,0,0.27,0.07,0.25,0.0
229009,f,False,False,usa,stockton,sck,18,30,8,4.41,18.0,7.24,0.5,0.12,0,,3,mandarin airlines,1,3,taipei,3,0.25,2,2,intercontinental,4,3.0,6690.9,660.24,660.24,4,3,0,0,1,0,1,3,4,1,2,0,1,0.27,0.13,0.5,0.25
229108,f,False,False,usa,burlington,btv,26,30,8,16.87,40.12,7.25,0.25,0.0,4,0.15,1,klm royal dutch airlines,1,1,austin,1,0.0,0,0,,2,1.0,2669.38,109.65,109.65,6,1,0,0,1,0,1,1,6,1,1,0,0,0.27,0.07,0.25,0.5
229330,f,True,False,usa,colorado springs,cos,48,30,7,1.71,13.86,8.07,0.71,0.0,1,0.1,3,ryanair,1,3,fort worth,3,0.71,3,3,banyan tree,3,2.14,1155.05,489.51,489.51,4,3,0,0,0,0,0,3,4,2,1,0,0,0.23,0.1,0.43,0.0
232647,f,False,False,usa,birmingham,bhm,18,30,8,1.56,12.5,7.94,0.12,0.12,1,0.1,1,southwest airlines,1,1,new york,1,0.12,1,1,wyndham,2,2.0,1391.58,349.14,349.14,6,0,0,0,1,1,0,2,6,1,1,0,0,0.27,0.07,0.25,0.0
249521,f,True,True,canada,ottawa,yow,60,29,8,2.34,18.88,7.98,0.12,0.12,3,0.2,1,air canada,1,1,vancouver,1,0.25,2,2,extended stay,2,0.88,3551.8,164.5,160.45,6,1,0,0,0,1,0,2,6,0,1,1,0,0.28,0.07,0.25,0.0
252835,f,False,True,usa,chicago,ord,38,29,8,1.8,14.62,8.11,0.62,0.38,2,0.18,4,american airlines,1,3,new york,4,0.5,4,4,hilton,5,3.25,1867.78,422.32,409.12,3,4,0,0,1,0,0,5,3,4,1,0,0,0.28,0.17,0.62,0.0
